site.code ,onum,orchard.type,Tree,Latitude,Longitude,elevation,avgwgt,Firmness, SSC,maturity.index,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Prox.Water,Cultivation ,Herbicides,Com_Mul,Mowing ,Weed_Mats,Cover_Crops,Fire_Mgmt,Acres,Pest_Index 
A,1,Organic ,1_1,34.04883,116.9434,1466,111.7,15.2,9,3,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,1,Organic ,1_2,34.04883,116.9434,1466,123.7,8.4,12,3,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,1,Organic ,1_3,34.04883,116.9434,1466,74,10.6,11,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,1,Organic ,1_4,34.04883,116.9434,1466,97,14.3,10,5,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,1,Organic ,1_5,34.04883,116.9434,1466,88.3,15.8,10.5,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,2,Conventional ,2_1,34.04883,116.9434,1466,49.7,15.3,11,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,2,Conventional ,2_2,34.04883,116.9434,1466,38.7,9.86,12,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,2,Conventional ,2_3,34.04883,116.9434,1466,68,11.8,11,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,2,Conventional ,2_4,34.04883,116.9434,1466,73,15.4,10.5,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,2,Conventional ,2_5,34.04883,116.9434,1466,81.3,11.4,10,5,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
B,3,Organic ,3_1,35.27926,120.6921,15,138.7,20.1,13,4,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,30,1.722222222
B,3,Organic ,3_2,35.27926,120.6921,15,118.3,17.8,15,5,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,30,1.722222222
B,3,Organic ,3_3,35.27926,120.6921,15,122,20.7,12,3,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,30,1.722222222
B,3,Organic ,3_4,35.27926,120.6921,15,120.3,20.8,13,4,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,30,1.722222222
B,3,Organic ,3_5,35.27926,120.6921,15,109.7,20.8,14,4,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,30,1.722222222
B,4,Conventional ,4_1,35.77103,120.6372,245,78,18.4,14,4,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,40,1.944444444
B,4,Conventional ,4_2,35.77103,120.6372,245,67,16.8,15.5,4,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,40,1.944444444
B,4,Conventional ,4_3,35.77103,120.6372,245,60.7,18,15.5,5,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,40,1.944444444
B,4,Conventional ,4_4,35.77103,120.6372,245,95.7,14.7,12.5,4,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,40,1.944444444
B,4,Conventional ,4_5,35.77103,120.6372,245,73.7,17.4,13,5,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,40,1.944444444
Q,5,Organic ,5_1,35.1985,119.0442,105,67.7,24.4,19,5,79.575,55.03333333,67.30833333,0,20000,1,0,1,1,0,1,0,3.5,1.611111111
Q,5,Organic ,5_2,35.1985,119.0442,105,85,20.7,19,5,79.575,55.03333333,67.30833333,0,20000,1,0,1,1,0,1,0,3.5,1.611111111
Q,5,Organic ,5_3,35.1985,119.0442,105,67,17.7,18.5,3,79.575,55.03333333,67.30833333,0,20000,1,0,1,1,0,1,0,3.5,1.611111111
Q,5,Organic ,5_4,35.1985,119.0442,105,71.7,19.2,19.5,7,79.575,55.03333333,67.30833333,0,20000,1,0,1,1,0,1,0,3.5,1.611111111
Q,5,Organic ,5_5,35.1985,119.0442,105,87.3,14.2,20,5,79.575,55.03333333,67.30833333,0,20000,1,0,1,1,0,1,0,3.5,1.611111111
D,6,Organic ,6_1,36.6386,119.5089,97,168,19,15,7,79.53333333,54.45833333,67,0,78,1,0,1,1,0,1,0,120,1.5
D,6,Organic ,6_2,36.6386,119.5089,97,89.3,21.6,20,7,79.53333333,54.45833333,67,0,78,1,0,1,1,0,1,0,120,1.5
D,6,Organic ,6_3,36.6386,119.5089,97,100,20.6,16,6,79.53333333,54.45833333,67,0,78,1,0,1,1,0,1,0,120,1.5
D,6,Organic ,6_4,36.6386,119.5089,97,82.3,17.8,15.5,3,79.53333333,54.45833333,67,0,78,1,0,1,1,0,1,0,120,1.5
